layer_idx,in_idx,out_idx,formula,r2
0,0,0,0.1745*1 + 3.0370*sin + -3.2553*tanh,0.5936551094055176
0,0,1,-0.3293*1 + -0.2086*x + 0.1030*exp,0.8998269438743591
0,0,2,-0.0643*x^3 + -1.3889*sin + 1.7017*tanh,0.8640642166137695
0,0,3,0.0737*1 + -2.3387*sin + 2.1755*tanh,0.8734942674636841
0,0,4,-2.1021*sin + 0.1338*cos + 2.1786*tanh,0.5483871698379517
0,0,5,-0.4123*x + 0.2644*exp + -0.4010*sqrt,0.8248844146728516
0,0,6,0.0830*x^3 + 4.3190*sin + -4.9186*tanh,0.6023584008216858
0,0,7,-0.7775*x + 0.3908*exp + -0.9865*sqrt,0.6723569631576538
0,0,8,0.0894*x^2 + 0.0459*x^3 + -0.0324*exp,0.8928290605545044
0,0,9,0.1766*exp + -0.3599*sqrt + -0.5588*tanh,0.8801319599151611
1,0,0,-0.0404*x^4 + 0.2025*exp + -0.3841*tanh,0.7735084295272827
1,0,1,0.1339*x^3 + -0.2307*exp + 0.5066*sqrt,0.7373651266098022
1,0,2,-0.0125*x^3 + 0.0508*exp + -0.1725*sqrt,0.8560572862625122
1,0,3,-0.5444*1 + -0.2845*x + 0.2655*tanh,0.791776180267334
1,0,4,-0.8152*1 + 2.9805*sin + -3.2032*tanh,0.23446780443191528
1,0,5,0.5959*1 + -0.1071*exp + 0.3642*tanh,0.8875971436500549
1,0,6,0.4192*1 + 0.1707*x^2 + -0.6515*sqrt,0.526389479637146
1,0,7,-0.3715*x + -0.0401*x^4 + 0.2736*exp,0.6033475399017334
1,0,8,0.0628*x + 0.0873*x^2 + -0.0516*sqrt,0.8584136366844177
1,0,9,-0.0714*x^3 + 0.1535*exp + -0.4672*sqrt,0.7895806431770325
1,1,0,-0.1475*x + -0.0478*log + 0.3006*tanh,0.8587284088134766
1,1,1,-0.0652*x + 0.0821*x^2 + -0.5109*sqrt,0.9565604329109192
1,1,2,-0.0201*x^4 + -0.0328*exp + 0.5293*sqrt,0.6217066049575806
1,1,3,-0.0408*x + -0.3928*cos + -0.4280*sqrt,0.28225767612457275
1,1,4,-1.0473*1 + -0.3486*x + 0.5507*tanh,0.41209298372268677
1,1,5,-0.1101*x^3 + 0.1911*cos + 0.2114*exp,0.8425366282463074
1,1,6,0.3064*1 + -0.3753*x + 0.6394*tanh,0.6676808595657349
1,1,7,0.2257*x^2 + 0.3652*cos + -0.4946*sqrt,0.841139018535614
1,1,8,0.1016*x^3 + 4.0996*sin + -4.5793*tanh,0.8588387966156006
1,1,9,2.1177*sin + 0.0785*exp + -2.3995*tanh,0.37787187099456787
1,2,0,0.1733*1 + -0.6443*x + 1.0462*tanh,0.8838971853256226
1,2,1,-0.0346*exp + 0.0514*log + 0.0453*tanh,0.6457040905952454
