layer_idx,in_idx,out_idx,formula,r2
0,0,0,-0.6385*x + 0.9239*sin + 0.1151*exp,0.9115027785301208
0,0,1,0.1216*x^3 + 6.1247*sin + -7.1056*tanh,0.7092702388763428
0,0,2,0.1430*exp + -0.4072*sqrt + -0.3621*tanh,0.6239876747131348
0,0,3,-0.0689*x + 0.0514*x^3 + -0.0319*exp,0.6114370822906494
0,0,4,0.0342*x^3 + 0.0803*log + 0.0868*sqrt,0.7925567626953125
0,0,5,-0.0803*x^3 + -4.7638*sin + 5.3882*tanh,0.450320303440094
0,0,6,-0.0688*sin + 0.1722*cos + 0.1436*log,0.7365261316299438
0,0,7,0.4548*1 + -0.3599*cos + -0.4050*sqrt,0.4047059416770935
0,0,8,0.9021*1 + -0.5859*cos + -0.5663*sqrt,0.7662993669509888
0,0,9,-0.0347*x^2 + 0.6833*sin + -0.8337*tanh,0.8360003232955933
1,0,0,0.6634*1 + 0.4843*x + -0.9046*tanh,0.7941645383834839
1,0,1,0.1136*exp + -0.5435*sqrt + -0.2770*tanh,0.8994233012199402
1,0,2,0.5833*1 + -2.2948*sin + 2.4092*tanh,0.22412580251693726
1,0,3,0.4629*1 + -0.1367*exp + 0.3788*tanh,0.7282313108444214
1,0,4,-0.5584*1 + -0.0120*x^4 + 0.1192*exp,0.8442980647087097
1,0,5,-0.8641*1 + -0.2339*sqrt + -0.1104*tanh,0.8267979621887207
1,0,6,-1.4450*1 + -0.0444*x^3 + 0.0917*exp,0.4644402861595154
1,0,7,0.0122*x^4 + -1.4853*sin + 1.5059*tanh,0.6524444222450256
1,0,8,-0.0719*sin + -0.5464*cos + -0.4881*sqrt,0.45755189657211304
1,0,9,0.1773*sin + -0.4767*cos + -0.3771*sqrt,0.9467170238494873
1,1,0,-0.1368*sin + 0.4467*cos + 0.5376*sqrt,0.6442471146583557
1,1,1,-0.3494*sin + 0.1211*exp + -0.4558*sqrt,0.7368899583816528
1,1,2,0.7153*1 + -0.1085*sin + 0.1847*sqrt,0.91255784034729
1,1,3,0.1606*x^2 + 0.4012*cos + -0.3534*sqrt,0.9380865693092346
1,1,4,-0.5756*1 + 0.1591*exp + -0.5366*tanh,0.8866655230522156
1,1,5,-0.9670*1 + -0.0388*x + 0.1480*sqrt,0.9255720973014832
1,1,6,0.4591*x + -0.9347*cos + -0.3329*exp,0.9272060990333557
1,1,7,-0.1575*x^3 + -5.6321*sin + 6.4916*tanh,0.6074310541152954
1,1,8,-0.5120*1 + -4.7826*sin + 4.9743*tanh,0.5899566411972046
1,1,9,-0.7041*1 + -0.1226*x^2 + 0.4077*sqrt,0.40657979249954224
1,2,0,0.1759*x^2 + 0.0035*x^3 + 0.5868*cos,0.19729536771774292
1,2,1,0.2026*x + -0.3283*sin + -0.1691*sqrt,0.8627321124076843
1,2,2,0.5904*1 + -0.0794*x + -0.0560*log,0.7949076890945435
